,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,BrainSegVol,BrainSegVolNotVent,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol,lh_G&S_frontomargin_volume,lh_G&S_occipital_inf_volume,lh_G&S_paracentral_volume,lh_G&S_subcentral_volume,lh_G&S_transv_frontopol_volume,lh_G&S_cingul-Ant_volume,lh_G&S_cingul-Mid-Ant_volume,lh_G&S_cingul-Mid-Post_volume,lh_G_cingul-Post-dorsal_volume,lh_G_cingul-Post-ventral_volume,lh_G_cuneus_volume,lh_G_front_inf-Opercular_volume,lh_G_front_inf-Orbital_volume,lh_G_front_inf-Triangul_volume,lh_G_front_middle_volume,lh_G_front_sup_volume,lh_G_Ins_lg&S_cent_ins_volume,lh_G_insular_short_volume,lh_G_occipital_middle_volume,lh_G_occipital_sup_volume,lh_G_oc-temp_lat-fusifor_volume,lh_G_oc-temp_med-Lingual_volume,lh_G_oc-temp_med-Parahip_volume,lh_G_orbital_volume,lh_G_pariet_inf-Angular_volume,lh_G_pariet_inf-Supramar_volume,lh_G_parietal_sup_volume,lh_G_postcentral_volume,lh_G_precentral_volume,lh_G_precuneus_volume,lh_G_rectus_volume,lh_G_subcallosal_volume,lh_G_temp_sup-G_T_transv_volume,lh_G_temp_sup-Lateral_volume,lh_G_temp_sup-Plan_polar_volume,lh_G_temp_sup-Plan_tempo_volume,lh_G_temporal_inf_volume,lh_G_temporal_middle_volume,lh_Lat_Fis-ant-Horizont_volume,lh_Lat_Fis-ant-Vertical_volume,lh_Lat_Fis-post_volume,lh_Pole_occipital_volume,lh_Pole_temporal_volume,lh_S_calcarine_volume,lh_S_central_volume,lh_S_cingul-Marginalis_volume,lh_S_circular_insula_ant_volume,lh_S_circular_insula_inf_volume,lh_S_circular_insula_sup_volume,lh_S_collat_transv_ant_volume,lh_S_collat_transv_post_volume,lh_S_front_inf_volume,lh_S_front_middle_volume,lh_S_front_sup_volume,lh_S_interm_prim-Jensen_volume,lh_S_intrapariet&P_trans_volume,lh_S_oc_middle&Lunatus_volume,lh_S_oc_sup&transversal_volume,lh_S_occipital_ant_volume,lh_S_oc-temp_lat_volume,lh_S_oc-temp_med&Lingual_volume,lh_S_orbital_lateral_volume,lh_S_orbital_med-olfact_volume,lh_S_orbital-H_Shaped_volume,lh_S_parieto_occipital_volume,lh_S_pericallosal_volume,lh_S_postcentral_volume,lh_S_precentral-inf-part_volume,lh_S_precentral-sup-part_volume,lh_S_suborbital_volume,lh_S_subparietal_volume,lh_S_temporal_inf_volume,lh_S_temporal_sup_volume,lh_S_temporal_transverse_volume,BrainSegVolNotVent,eTIV,lh_G_and_S_frontomargin_volume,lh_G_and_S_occipital_inf_volume,lh_G_and_S_paracentral_volume,lh_G_and_S_subcentral_volume,lh_G_and_S_transv_frontopol_volume,lh_G_and_S_cingul-Ant_volume,lh_G_and_S_cingul-Mid-Ant_volume,lh_G_and_S_cingul-Mid-Post_volume,lh_G_Ins_lg_and_S_cent_ins_volume,lh_S_intrapariet_and_P_trans_volume,lh_S_oc_middle_and_Lunatus_volume,lh_S_oc_sup_and_transversal_volume,lh_S_oc-temp_med_and_Lingual_volume,rh_G&S_frontomargin_volume,rh_G&S_occipital_inf_volume,rh_G&S_paracentral_volume,rh_G&S_subcentral_volume,rh_G&S_transv_frontopol_volume,rh_G&S_cingul-Ant_volume,rh_G&S_cingul-Mid-Ant_volume,rh_G&S_cingul-Mid-Post_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-ventral_volume,rh_G_cuneus_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Triangul_volume,rh_G_front_middle_volume,rh_G_front_sup_volume,rh_G_Ins_lg&S_cent_ins_volume,rh_G_insular_short_volume,rh_G_occipital_middle_volume,rh_G_occipital_sup_volume,rh_G_oc-temp_lat-fusifor_volume,rh_G_oc-temp_med-Lingual_volume,rh_G_oc-temp_med-Parahip_volume,rh_G_orbital_volume,rh_G_pariet_inf-Angular_volume,rh_G_pariet_inf-Supramar_volume,rh_G_parietal_sup_volume,rh_G_postcentral_volume,rh_G_precentral_volume,rh_G_precuneus_volume,rh_G_rectus_volume,rh_G_subcallosal_volume,rh_G_temp_sup-G_T_transv_volume,rh_G_temp_sup-Lateral_volume,rh_G_temp_sup-Plan_polar_volume,rh_G_temp_sup-Plan_tempo_volume,rh_G_temporal_inf_volume,rh_G_temporal_middle_volume,rh_Lat_Fis-ant-Horizont_volume,rh_Lat_Fis-ant-Vertical_volume,rh_Lat_Fis-post_volume,rh_Pole_occipital_volume,rh_Pole_temporal_volume,rh_S_calcarine_volume,rh_S_central_volume,rh_S_cingul-Marginalis_volume,rh_S_circular_insula_ant_volume,rh_S_circular_insula_inf_volume,rh_S_circular_insula_sup_volume,rh_S_collat_transv_ant_volume,rh_S_collat_transv_post_volume,rh_S_front_inf_volume,rh_S_front_middle_volume,rh_S_front_sup_volume,rh_S_interm_prim-Jensen_volume,rh_S_intrapariet&P_trans_volume,rh_S_oc_middle&Lunatus_volume,rh_S_oc_sup&transversal_volume,rh_S_occipital_ant_volume,rh_S_oc-temp_lat_volume,rh_S_oc-temp_med&Lingual_volume,rh_S_orbital_lateral_volume,rh_S_orbital_med-olfact_volume,rh_S_orbital-H_Shaped_volume,rh_S_parieto_occipital_volume,rh_S_pericallosal_volume,rh_S_postcentral_volume,rh_S_precentral-inf-part_volume,rh_S_precentral-sup-part_volume,rh_S_suborbital_volume,rh_S_subparietal_volume,rh_S_temporal_inf_volume,rh_S_temporal_sup_volume,rh_S_temporal_transverse_volume,BrainSegVolNotVent,eTIV,rh_G_and_S_frontomargin_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_S_intrapariet_and_P_trans_volume,rh_S_oc_middle_and_Lunatus_volume,rh_S_oc_sup_and_transversal_volume,rh_S_oc-temp_med_and_Lingual_volume
sub-C0012,3138.2,5377.7,2103.3,4089.9,1509.5,394.8,3333.8,5756.8,1979.2,4117.1,1614.0,499.6,1077719.0,1068483.0,217171.51896,220173.281747,437344.800707,226771.523482,223092.240163,449863.763645,58078.0,593288.800707,955084.564351,948201.564351,1312872.0,0.790055,0.962441,22.0,20.0,42.0,1364106.151901,2251.0,3172.0,2584.0,2801.0,1744.0,4425.0,2279.0,2148.0,1403.0,679.0,3321.0,2424.0,959.0,2691.0,9206.0,18213.0,1562.0,1922.0,4948.0,2764.0,3655.0,4797.0,4659.0,5022.0,4728.0,6541.0,4765.0,3425.0,5127.0,4765.0,1940.0,1160.0,1135.0,4877.0,1896.0,1310.0,8247.0,5006.0,268.0,410.0,1303.0,2811.0,5448.0,2890.0,3467.0,1259.0,818.0,2420.0,2227.0,1574.0,526.0,2411.0,1552.0,4354.0,252.0,3077.0,1791.0,1735.0,767.0,1162.0,3116.0,433.0,792.0,2059.0,3869.0,1024.0,3492.0,2310.0,1813.0,1020.0,1067.0,2469.0,7156.0,409.0,1068483.0,1364106.151901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.0,1923.0,2238.0,2373.0,2361.0,5611.0,2240.0,2147.0,1192.0,875.0,3511.0,3467.0,1260.0,3040.0,7763.0,15125.0,1271.0,2062.0,4876.0,2513.0,4948.0,3837.0,3727.0,5589.0,7066.0,5825.0,4986.0,2917.0,5546.0,4470.0,1971.0,513.0,896.0,5538.0,2222.0,1749.0,5049.0,5957.0,392.0,391.0,2132.0,4240.0,4733.0,2998.0,2925.0,1725.0,821.0,1635.0,2098.0,1854.0,466.0,3080.0,2826.0,3017.0,660.0,5081.0,1109.0,1439.0,1017.0,1250.0,2912.0,729.0,853.0,1980.0,4138.0,1375.0,3258.0,1852.0,2270.0,499.0,1765.0,1609.0,11448.0,318.0,1068483.0,1364106.151901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-C0013,3542.9,4631.1,1852.0,4317.3,1755.1,429.1,3679.3,5044.2,2191.9,4447.6,1732.8,529.0,1115915.0,1101732.0,220756.94926,223720.036735,444476.985996,225000.868252,225516.241095,450517.109347,59320.0,616917.985996,968206.095342,957914.095342,1310957.0,0.796766,0.936027,20.0,18.0,38.0,1400554.686934,2088.0,3315.0,2205.0,3735.0,1193.0,3665.0,1758.0,2206.0,1685.0,651.0,2342.0,3910.0,1128.0,2607.0,8256.0,16069.0,1759.0,2400.0,3908.0,1817.0,5408.0,3707.0,2887.0,6243.0,4422.0,5403.0,4846.0,2696.0,5638.0,5614.0,2137.0,848.0,991.0,6135.0,1944.0,1745.0,7782.0,8154.0,448.0,385.0,1481.0,3001.0,5536.0,2155.0,3126.0,1387.0,1175.0,2657.0,2642.0,1520.0,395.0,3742.0,2258.0,4720.0,473.0,4375.0,1351.0,1998.0,699.0,1357.0,2596.0,315.0,895.0,2720.0,2026.0,1075.0,3328.0,2951.0,2770.0,1068.0,1571.0,2400.0,7504.0,407.0,1101732.0,1400554.686934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,1903.0,1852.0,3359.0,2337.0,5162.0,2611.0,2520.0,1800.0,712.0,2614.0,4014.0,1281.0,1687.0,7325.0,13736.0,1838.0,2484.0,4671.0,2658.0,5174.0,4105.0,2606.0,6753.0,6402.0,5941.0,3318.0,2771.0,5833.0,4281.0,1744.0,640.0,1255.0,5618.0,2163.0,2101.0,6586.0,7910.0,673.0,359.0,2109.0,4382.0,6002.0,2214.0,3277.0,1703.0,1199.0,2558.0,2281.0,1488.0,378.0,3306.0,3599.0,3707.0,955.0,4141.0,1045.0,1514.0,710.0,1682.0,2920.0,707.0,996.0,2453.0,3254.0,1550.0,3251.0,3550.0,2132.0,392.0,1659.0,1587.0,9020.0,483.0,1101732.0,1400554.686934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-C0014,3399.4,5112.7,2009.1,4087.8,1498.8,446.7,3291.7,5177.1,2032.4,4331.7,1784.4,506.1,1091388.0,1081973.0,226576.533725,227962.933163,454539.466888,214788.324129,216194.417454,430982.741583,57138.0,618454.466888,952216.20847,945731.20847,1342889.0,0.772401,0.950395,21.0,13.0,34.0,1412980.582545,2036.0,3367.0,2452.0,2988.0,1603.0,4089.0,2606.0,2289.0,1308.0,684.0,2813.0,3411.0,1153.0,2731.0,9512.0,17559.0,1708.0,2199.0,4582.0,1890.0,4862.0,4093.0,2955.0,5651.0,6019.0,5369.0,4309.0,3548.0,6478.0,4720.0,2621.0,1175.0,1301.0,5891.0,1906.0,1031.0,6651.0,6829.0,578.0,459.0,1154.0,2524.0,6472.0,3495.0,3419.0,1378.0,904.0,2288.0,2826.0,1802.0,548.0,3252.0,1818.0,4331.0,292.0,3924.0,1144.0,1407.0,1177.0,1443.0,2954.0,339.0,957.0,1860.0,2281.0,1667.0,3274.0,2165.0,2355.0,1479.0,1415.0,2556.0,10189.0,370.0,1081973.0,1412980.582545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988.0,2836.0,2775.0,2445.0,2220.0,5556.0,2412.0,2592.0,1166.0,1005.0,2903.0,3426.0,1322.0,3176.0,8956.0,16938.0,1343.0,2675.0,4719.0,2043.0,4455.0,4557.0,3346.0,5994.0,5910.0,4557.0,3557.0,4206.0,6252.0,4627.0,1899.0,642.0,621.0,5518.0,2189.0,1538.0,6994.0,7967.0,589.0,490.0,1539.0,5080.0,6580.0,2926.0,3451.0,1380.0,1017.0,1920.0,2185.0,1852.0,443.0,3458.0,3294.0,3792.0,562.0,3772.0,998.0,1391.0,885.0,1967.0,2682.0,826.0,1202.0,1960.0,2576.0,1109.0,2520.0,2476.0,2074.0,549.0,1790.0,2099.0,9406.0,289.0,1081973.0,1412980.582545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-C0015,3764.6,5340.9,2139.7,3874.7,1564.7,535.2,4075.6,5604.6,2145.2,4144.2,1679.7,559.1,1061125.0,1050308.0,207239.309155,210962.004504,418201.31366,223545.108847,225059.219328,448604.328175,58808.0,574732.31366,935623.641834,927507.641834,1310733.0,0.77137,0.952818,10.0,11.0,21.0,1375637.690726,1377.0,2131.0,2736.0,2693.0,1913.0,3927.0,1943.0,2229.0,1947.0,708.0,2984.0,2501.0,1232.0,1866.0,6539.0,11555.0,1290.0,2020.0,4131.0,1727.0,3160.0,5332.0,2842.0,4438.0,5553.0,5211.0,5407.0,3452.0,6205.0,5779.0,2094.0,1750.0,949.0,5969.0,1707.0,1701.0,5369.0,6981.0,327.0,292.0,1224.0,2229.0,4115.0,3239.0,4328.0,1535.0,799.0,2020.0,1903.0,1661.0,456.0,2517.0,2220.0,3885.0,390.0,3941.0,1345.0,1517.0,1010.0,1414.0,3538.0,490.0,828.0,2203.0,2683.0,1470.0,3772.0,2714.0,1584.0,601.0,1434.0,2226.0,9339.0,537.0,1050308.0,1375637.690726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332.0,1778.0,1607.0,2330.0,2576.0,5311.0,2614.0,2444.0,1331.0,953.0,3152.0,2742.0,1057.0,1871.0,10721.0,14743.0,1197.0,2303.0,4952.0,2418.0,3620.0,5853.0,3159.0,5836.0,5529.0,3395.0,2733.0,2197.0,3785.0,4012.0,2025.0,473.0,1025.0,4523.0,1560.0,1409.0,5195.0,7767.0,753.0,176.0,1482.0,4492.0,5159.0,3099.0,2493.0,1519.0,930.0,1863.0,1689.0,1365.0,632.0,3290.0,6233.0,7541.0,275.0,2907.0,1143.0,1697.0,943.0,1080.0,3418.0,623.0,898.0,2194.0,2955.0,1049.0,1669.0,1297.0,1217.0,168.0,1651.0,1832.0,9368.0,347.0,1050308.0,1375637.690726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-C0016,3189.5,5310.9,1754.8,4309.6,1616.6,404.1,3114.6,5280.5,1762.8,4365.6,1774.9,473.2,1030568.0,1017133.0,223823.846755,223115.318199,446939.164955,194555.195719,192711.194889,387266.390608,56195.0,604109.164955,903419.555562,893489.555562,1267166.0,0.780152,0.959259,30.0,24.0,54.0,1320983.724076,2132.0,2680.0,2852.0,2995.0,2311.0,4235.0,2613.0,2544.0,1375.0,584.0,2337.0,3186.0,1067.0,2356.0,10769.0,17900.0,1708.0,1990.0,4589.0,2098.0,3763.0,4438.0,2839.0,5900.0,5532.0,5609.0,5382.0,3446.0,6594.0,5522.0,2267.0,613.0,1036.0,5371.0,1824.0,1148.0,6693.0,7759.0,391.0,475.0,1274.0,2649.0,5961.0,2623.0,3313.0,1596.0,769.0,1974.0,2462.0,1756.0,614.0,2861.0,1901.0,4615.0,503.0,3833.0,1081.0,1508.0,1048.0,966.0,2695.0,488.0,1001.0,2311.0,2772.0,1193.0,3728.0,3058.0,2352.0,791.0,1107.0,2815.0,7838.0,411.0,1017133.0,1320983.724076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469.0,1916.0,2121.0,2692.0,2445.0,5468.0,2705.0,2684.0,1339.0,981.0,2708.0,3243.0,1080.0,1451.0,9432.0,16762.0,1232.0,2287.0,4500.0,2204.0,4126.0,4326.0,3415.0,6616.0,6699.0,4890.0,3219.0,3956.0,6999.0,4578.0,2083.0,524.0,718.0,5537.0,1726.0,1525.0,6397.0,7691.0,403.0,419.0,2038.0,4280.0,6115.0,2916.0,3458.0,1769.0,858.0,1970.0,2233.0,1439.0,562.0,2687.0,3060.0,4928.0,576.0,3925.0,1094.0,1521.0,895.0,1228.0,2943.0,600.0,899.0,2070.0,2996.0,1087.0,3333.0,3188.0,2063.0,376.0,1507.0,1306.0,8688.0,308.0,1017133.0,1320983.724076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-C0018,3539.7,4602.0,1867.3,3948.5,1656.3,345.2,3230.2,4704.3,2011.8,4116.0,1832.0,447.4,1076832.0,1059419.0,216584.780782,217891.710498,434476.49128,230794.29943,232591.27258,463385.57201,53628.0,568387.49128,969501.063291,955028.063291,1329799.0,0.781593,0.965204,15.0,19.0,34.0,1377739.294248,2281.0,2386.0,3368.0,3105.0,1316.0,4076.0,2287.0,2342.0,1249.0,529.0,2523.0,2823.0,1244.0,2252.0,9373.0,16138.0,1519.0,2125.0,5010.0,2358.0,4449.0,3815.0,4177.0,5301.0,5090.0,4885.0,5416.0,3345.0,6009.0,5184.0,2010.0,1214.0,1082.0,5158.0,1837.0,1389.0,7044.0,6077.0,265.0,352.0,1320.0,2929.0,6318.0,2327.0,3347.0,1542.0,843.0,2336.0,2230.0,2117.0,732.0,2547.0,1998.0,3623.0,110.0,3870.0,1154.0,2042.0,952.0,1127.0,2717.0,592.0,716.0,2490.0,2569.0,1468.0,3094.0,2889.0,2012.0,1047.0,1184.0,2934.0,7556.0,512.0,1059419.0,1377739.294248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,2098.0,2589.0,2272.0,2028.0,4953.0,2900.0,2897.0,1215.0,601.0,2596.0,2659.0,640.0,2362.0,7797.0,18414.0,1359.0,2283.0,4569.0,2478.0,3402.0,4104.0,4142.0,6076.0,7394.0,4715.0,4558.0,2637.0,5460.0,4881.0,1505.0,675.0,563.0,3899.0,2034.0,1254.0,8211.0,7596.0,471.0,235.0,1906.0,3206.0,6332.0,2217.0,3041.0,1850.0,787.0,2101.0,2206.0,2533.0,447.0,2003.0,2879.0,3441.0,561.0,4256.0,932.0,1974.0,1063.0,2429.0,2319.0,515.0,920.0,2570.0,2346.0,1519.0,2244.0,2334.0,1882.0,588.0,2063.0,2409.0,8185.0,236.0,1059419.0,1377739.294248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-C0019,3580.4,5240.1,2018.6,3738.1,1628.3,377.2,3582.4,5365.5,2127.7,4090.9,1889.3,532.9,1135317.0,1118793.0,231875.674493,234619.490691,466495.165185,228826.661323,231398.941933,460225.603257,57784.0,629836.165185,1000582.768442,987903.768442,1392916.0,0.79543,0.97591,24.0,17.0,41.0,1427299.797411,2342.0,2280.0,2549.0,3597.0,1203.0,4380.0,2088.0,2514.0,1420.0,695.0,2260.0,2741.0,1031.0,2823.0,10117.0,17443.0,1476.0,2059.0,4388.0,2094.0,4536.0,3981.0,2706.0,5578.0,6353.0,5714.0,5540.0,4194.0,5543.0,5853.0,2360.0,1489.0,985.0,6279.0,2312.0,1883.0,8739.0,8875.0,379.0,430.0,1298.0,2350.0,5575.0,2166.0,3625.0,1449.0,787.0,2394.0,2485.0,1765.0,544.0,2824.0,2499.0,4501.0,483.0,4897.0,738.0,1629.0,1405.0,1670.0,3016.0,517.0,1028.0,2583.0,2425.0,1281.0,4007.0,2595.0,1756.0,821.0,1402.0,2788.0,9972.0,381.0,1118793.0,1427299.797411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1759.0,3561.0,2353.0,2936.0,2257.0,5463.0,2536.0,2607.0,1462.0,876.0,2369.0,2917.0,1191.0,1439.0,9964.0,16540.0,1528.0,2610.0,4124.0,2274.0,4836.0,3394.0,2943.0,7050.0,6981.0,5507.0,4981.0,4392.0,6322.0,5377.0,2024.0,592.0,670.0,5184.0,2457.0,1704.0,6379.0,9548.0,559.0,365.0,1773.0,4194.0,6398.0,2098.0,3704.0,1570.0,905.0,1900.0,2114.0,1853.0,500.0,2479.0,4141.0,4223.0,649.0,4067.0,867.0,1466.0,1297.0,2202.0,3028.0,659.0,1082.0,3000.0,3121.0,1219.0,3608.0,2721.0,1914.0,193.0,1320.0,2468.0,10445.0,332.0,1118793.0,1427299.797411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-C0020,3011.4,5112.5,1942.7,4222.5,1487.2,374.7,3131.5,5335.6,2173.6,4079.8,1553.5,436.0,1075055.0,1058464.0,215661.360191,217745.594893,433406.955084,223420.215236,225275.59355,448695.808786,54920.0,584205.955084,954118.76387,940609.76387,1320333.0,0.76231,0.936234,25.0,8.0,33.0,1410259.575551,2016.0,3121.0,2549.0,3285.0,1355.0,4193.0,1893.0,2134.0,1502.0,659.0,2538.0,2597.0,1024.0,2318.0,8861.0,17225.0,1361.0,2330.0,5883.0,2308.0,3884.0,4308.0,3110.0,5349.0,5214.0,5842.0,5448.0,5019.0,5566.0,4762.0,1984.0,1155.0,977.0,4154.0,1770.0,1502.0,7236.0,5359.0,340.0,835.0,1367.0,2553.0,5432.0,2215.0,3686.0,1376.0,800.0,2295.0,2207.0,2144.0,616.0,2917.0,2008.0,3984.0,178.0,3776.0,1203.0,1353.0,1156.0,1661.0,2308.0,812.0,930.0,2100.0,3167.0,835.0,4471.0,2916.0,1717.0,1228.0,1087.0,1529.0,6945.0,543.0,1058464.0,1410259.575551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.0,2587.0,2310.0,2475.0,2138.0,4737.0,2216.0,2726.0,1434.0,751.0,3102.0,2479.0,805.0,1746.0,8777.0,17560.0,1282.0,1716.0,5234.0,2415.0,3867.0,3902.0,3152.0,5957.0,6099.0,4187.0,3758.0,3961.0,5734.0,4653.0,1834.0,732.0,765.0,4531.0,2113.0,1552.0,6537.0,7201.0,571.0,417.0,1650.0,4510.0,6337.0,2246.0,3038.0,1742.0,746.0,1723.0,2077.0,1708.0,546.0,2471.0,2728.0,3854.0,257.0,3769.0,1012.0,1864.0,1657.0,1745.0,2745.0,703.0,1303.0,2231.0,3467.0,1350.0,3250.0,2489.0,2155.0,325.0,1884.0,1994.0,9636.0,470.0,1058464.0,1410259.575551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-C0022,3779.3,6459.0,2386.8,4077.7,1642.2,639.9,3806.8,6714.2,2212.5,4550.7,1899.5,546.2,1233117.0,1209583.0,253084.500657,253268.77968,506353.280337,248622.679484,246066.860172,494689.539656,64401.0,685358.280337,1086557.819993,1067587.819993,1523374.0,0.771896,0.953589,14.0,18.0,32.0,1597516.685361,2447.0,3429.0,3165.0,3124.0,1530.0,5165.0,2300.0,2760.0,1944.0,1108.0,2993.0,3690.0,1108.0,2710.0,11845.0,18917.0,1705.0,3184.0,5699.0,1916.0,5302.0,4958.0,5659.0,5563.0,5790.0,5826.0,5756.0,3892.0,6734.0,6114.0,2846.0,1731.0,1292.0,5655.0,2050.0,1181.0,7593.0,8134.0,381.0,675.0,1191.0,2847.0,4809.0,2822.0,3827.0,1861.0,816.0,2803.0,2866.0,1875.0,542.0,3078.0,2326.0,5034.0,262.0,4342.0,1342.0,1943.0,1573.0,1573.0,3447.0,346.0,1052.0,2444.0,3459.0,1518.0,4348.0,2231.0,2991.0,901.0,1899.0,2733.0,10074.0,555.0,1209583.0,1597516.685361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1629.0,2237.0,2588.0,2989.0,2666.0,6577.0,2900.0,3469.0,1505.0,864.0,3168.0,3504.0,1197.0,2703.0,12170.0,16329.0,1780.0,2463.0,4486.0,2506.0,5773.0,4579.0,6137.0,6029.0,7827.0,4859.0,5002.0,4095.0,6767.0,5313.0,2319.0,728.0,752.0,5293.0,1979.0,2075.0,8076.0,8858.0,595.0,597.0,2086.0,4995.0,6277.0,2480.0,3604.0,2126.0,1296.0,2242.0,2708.0,2081.0,439.0,3025.0,3432.0,4920.0,427.0,4386.0,960.0,1766.0,1036.0,1606.0,3335.0,595.0,1075.0,2380.0,3077.0,1621.0,3789.0,2603.0,2676.0,405.0,2300.0,2314.0,9914.0,520.0,1209583.0,1597516.685361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-C0024,3976.6,7077.4,2298.2,4508.0,2504.4,540.0,4110.5,6939.1,2193.1,5024.8,2630.4,747.5,1320959.0,1292012.0,293699.476741,293628.661267,587328.138008,244102.893365,241458.061345,485560.95471,68259.0,775036.138008,1169345.092718,1145216.092718,1602232.0,0.757305,0.918558,29.0,30.0,59.0,1744290.042867,3074.0,4000.0,3186.0,3399.0,2114.0,6274.0,2789.0,3780.0,2137.0,760.0,2750.0,4031.0,1486.0,2542.0,13537.0,22892.0,2039.0,3411.0,6699.0,2225.0,6573.0,4807.0,4548.0,7547.0,8043.0,7801.0,6990.0,4311.0,7578.0,5908.0,2342.0,1175.0,1062.0,8444.0,2701.0,2491.0,11113.0,10130.0,586.0,537.0,1489.0,3585.0,7989.0,2302.0,4289.0,2303.0,934.0,2994.0,2926.0,1876.0,772.0,3207.0,2479.0,5367.0,510.0,5803.0,1594.0,1903.0,1401.0,1685.0,3311.0,848.0,1156.0,2978.0,3761.0,1245.0,5051.0,2193.0,3181.0,1327.0,1481.0,2948.0,11847.0,464.0,1292012.0,1744290.042867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2524.0,2294.0,2678.0,3583.0,3446.0,8010.0,3153.0,3224.0,1902.0,992.0,3589.0,2996.0,1475.0,3713.0,10823.0,19101.0,2667.0,2585.0,7452.0,2457.0,5602.0,4706.0,4226.0,8840.0,7964.0,7085.0,6027.0,5028.0,7429.0,7315.0,2436.0,959.0,864.0,6768.0,2711.0,2387.0,11552.0,13118.0,463.0,583.0,2247.0,5415.0,7451.0,2661.0,4472.0,1946.0,1065.0,2049.0,2593.0,2098.0,509.0,3139.0,4039.0,4843.0,482.0,4413.0,1363.0,2164.0,1140.0,1846.0,3529.0,971.0,1232.0,2941.0,4048.0,1766.0,4917.0,2243.0,3322.0,856.0,3270.0,3038.0,12381.0,469.0,1292012.0,1744290.042867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
