,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,BrainSegVol,BrainSegVolNotVent,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol,lh_bankssts_volume,lh_caudalanteriorcingulate_volume,lh_caudalmiddlefrontal_volume,lh_cuneus_volume,lh_entorhinal_volume,lh_fusiform_volume,lh_inferiorparietal_volume,lh_inferiortemporal_volume,lh_isthmuscingulate_volume,lh_lateraloccipital_volume,lh_lateralorbitofrontal_volume,lh_lingual_volume,lh_medialorbitofrontal_volume,lh_middletemporal_volume,lh_parahippocampal_volume,lh_paracentral_volume,lh_parsopercularis_volume,lh_parsorbitalis_volume,lh_parstriangularis_volume,lh_pericalcarine_volume,lh_postcentral_volume,lh_posteriorcingulate_volume,lh_precentral_volume,lh_precuneus_volume,lh_rostralanteriorcingulate_volume,lh_rostralmiddlefrontal_volume,lh_superiorfrontal_volume,lh_superiorparietal_volume,lh_superiortemporal_volume,lh_supramarginal_volume,lh_frontalpole_volume,lh_temporalpole_volume,lh_transversetemporal_volume,lh_insula_volume,BrainSegVolNotVent,eTIV,rh_bankssts_volume,rh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,rh_cuneus_volume,rh_entorhinal_volume,rh_fusiform_volume,rh_inferiorparietal_volume,rh_inferiortemporal_volume,rh_isthmuscingulate_volume,rh_lateraloccipital_volume,rh_lateralorbitofrontal_volume,rh_lingual_volume,rh_medialorbitofrontal_volume,rh_middletemporal_volume,rh_parahippocampal_volume,rh_paracentral_volume,rh_parsopercularis_volume,rh_parsorbitalis_volume,rh_parstriangularis_volume,rh_pericalcarine_volume,rh_postcentral_volume,rh_posteriorcingulate_volume,rh_precentral_volume,rh_precuneus_volume,rh_rostralanteriorcingulate_volume,rh_rostralmiddlefrontal_volume,rh_superiorfrontal_volume,rh_superiorparietal_volume,rh_superiortemporal_volume,rh_supramarginal_volume,rh_frontalpole_volume,rh_temporalpole_volume,rh_transversetemporal_volume,rh_insula_volume,BrainSegVolNotVent,eTIV
sub-B0011,2439.5,5605.6,1782.0,3930.3,1591.3,379.8,2539.7,5545.3,1755.7,3843.7,1650.3,492.4,1150484.0,1139785.0,221197.093088,221047.537678,442244.630765,241014.514064,248003.848348,489018.362412,57227.0,618121.630765,999111.993177,992372.993177,1500719.0,0.747999,0.975708,135.0,128.0,263.0,1538082.807243,2758.0,1499.0,6372.0,3096.0,1755.0,7651.0,12811.0,10106.0,2349.0,13731.0,5992.0,6663.0,5159.0,9815.0,1716.0,3459.0,4236.0,2027.0,3424.0,1775.0,10382.0,3575.0,13209.0,8571.0,2201.0,16197.0,20201.0,11669.0,12856.0,8728.0,568.0,1650.0,942.0,6534.0,1139785.0,1538082.807243,1880.0,2155.0,5445.0,2608.0,1201.0,7902.0,15378.0,10022.0,1516.0,10374.0,6694.0,6381.0,5174.0,10446.0,1470.0,4234.0,3396.0,2476.0,4298.0,2580.0,8990.0,3199.0,13125.0,9367.0,1936.0,16860.0,20776.0,11954.0,12291.0,10332.0,994.0,1490.0,1063.0,6399.0,1139785.0,1538082.807243
sub-B0012,3365.6,4665.5,1913.8,4074.5,1840.0,295.1,3431.1,4889.0,1941.3,4254.5,1813.2,505.1,1141155.0,1127383.0,233389.686631,237433.639827,470823.326458,232048.446628,233948.469515,465996.916144,56787.0,631484.326458,1008291.242602,997199.242602,1394657.0,0.762288,0.931626,15.0,11.0,26.0,1497013.061566,1928.0,1505.0,5875.0,2673.0,2591.0,8994.0,13538.0,10482.0,2678.0,10342.0,7829.0,5674.0,5388.0,9417.0,2379.0,3571.0,4624.0,2427.0,4098.0,2081.0,9096.0,2930.0,13359.0,10429.0,2547.0,16202.0,22206.0,13130.0,13429.0,11348.0,980.0,2187.0,1519.0,7053.0,1127383.0,1497013.061566,2095.0,1245.0,5099.0,3213.0,2251.0,8915.0,15835.0,11892.0,2895.0,11178.0,7607.0,6219.0,5686.0,10707.0,1922.0,3969.0,3382.0,2849.0,5126.0,2397.0,8754.0,3139.0,12676.0,10313.0,1708.0,18165.0,22399.0,12829.0,11994.0,9865.0,1221.0,3037.0,1020.0,7454.0,1127383.0,1497013.061566
sub-B0013,3349.6,5129.2,2201.0,4225.4,1834.0,480.0,3334.7,5602.9,2040.5,4443.4,2121.6,632.9,1232605.0,1218067.0,251386.317237,247788.6194,499174.936637,263634.669307,266488.95099,530123.620296,61274.0,660424.936637,1104759.556934,1093995.556934,1503722.0,0.803994,0.980836,13.0,25.0,38.0,1533102.92957,2388.0,1582.0,6033.0,2629.0,2520.0,9348.0,14538.0,12677.0,2802.0,14155.0,7083.0,7096.0,5255.0,11948.0,1897.0,3895.0,5388.0,2457.0,4246.0,2152.0,10210.0,3462.0,13686.0,8777.0,2315.0,16857.0,26065.0,12929.0,13399.0,12026.0,941.0,3059.0,1015.0,7559.0,1218067.0,1533102.92957,2621.0,1618.0,5801.0,3271.0,1861.0,9566.0,16494.0,12679.0,2507.0,13123.0,7754.0,7921.0,5272.0,12557.0,2032.0,3618.0,3936.0,2937.0,4540.0,2070.0,8414.0,2982.0,13964.0,11473.0,2125.0,15582.0,22332.0,12958.0,13577.0,10487.0,1114.0,2771.0,822.0,7486.0,1218067.0,1533102.92957
sub-B0014,2742.5,4201.3,1560.2,3368.0,1402.3,312.0,2803.4,4461.6,1596.4,3573.5,1537.1,427.0,996385.0,983462.0,211941.641217,217386.018575,429327.659792,196634.41619,201387.277159,398021.693349,48597.0,557482.659792,888724.353141,879015.353141,1248573.0,0.745451,0.934126,16.0,22.0,38.0,1336621.135746,2312.0,1446.0,5323.0,2846.0,1629.0,8280.0,9690.0,10162.0,2406.0,10155.0,6720.0,5370.0,4345.0,9733.0,1501.0,3434.0,3890.0,2095.0,3488.0,2072.0,8354.0,2737.0,12897.0,8097.0,2168.0,14505.0,21184.0,11881.0,11892.0,10898.0,1062.0,2184.0,967.0,6908.0,983462.0,1336621.135746,2012.0,2247.0,6214.0,3050.0,1742.0,8602.0,12253.0,11764.0,2081.0,11786.0,7164.0,6068.0,4931.0,11461.0,1414.0,2850.0,3273.0,3163.0,3956.0,2530.0,7380.0,2826.0,13820.0,9357.0,2056.0,13623.0,18824.0,11130.0,10817.0,9351.0,1090.0,1933.0,872.0,6602.0,983462.0,1336621.135746
sub-B0015,3005.4,5266.8,1878.2,3976.1,1373.9,429.1,3111.3,5323.8,1934.6,4381.5,1872.3,556.5,1074506.0,1063494.0,220761.582932,218307.795113,439069.378045,221191.551809,219034.968866,440226.520675,54551.0,594376.378045,944618.89872,936438.89872,1331722.0,0.777944,0.964169,15.0,31.0,46.0,1381211.949363,2717.0,2082.0,5892.0,2777.0,1933.0,9708.0,10769.0,10675.0,2496.0,11315.0,6911.0,5580.0,4725.0,12021.0,1661.0,3691.0,4337.0,2057.0,3414.0,1661.0,8142.0,2687.0,13789.0,8591.0,3258.0,14139.0,21578.0,10962.0,11410.0,9656.0,918.0,1930.0,964.0,7017.0,1063494.0,1381211.949363,2291.0,1243.0,5889.0,2647.0,1470.0,9361.0,12926.0,11406.0,2567.0,10438.0,6442.0,5404.0,5827.0,12104.0,1770.0,3500.0,3520.0,2681.0,3914.0,1945.0,7679.0,2600.0,12548.0,8726.0,1584.0,15152.0,20364.0,10609.0,11997.0,10140.0,1192.0,1900.0,807.0,6581.0,1063494.0,1381211.949363
sub-B0016,3408.8,5056.6,2072.1,4040.2,1610.8,442.5,3457.7,4841.2,2040.1,4402.3,1572.3,558.9,1091835.0,1080395.0,222281.956563,220964.969285,443246.925848,230371.684444,229474.466535,459846.150979,56646.0,594554.925848,970434.076828,961846.076828,1336409.0,0.769351,0.941687,12.0,12.0,24.0,1419164.36005,2493.0,1681.0,6455.0,3039.0,1893.0,8441.0,13262.0,9645.0,2629.0,12122.0,7096.0,6506.0,5715.0,10219.0,1880.0,3000.0,5089.0,2312.0,3909.0,1765.0,7651.0,3508.0,12115.0,8957.0,2467.0,13984.0,19400.0,12301.0,10884.0,11552.0,1028.0,1921.0,936.0,6836.0,1080395.0,1419164.36005,1545.0,1296.0,6004.0,3761.0,1880.0,10235.0,14349.0,8555.0,2247.0,12633.0,6934.0,6281.0,5337.0,10156.0,1815.0,3875.0,4285.0,2789.0,3994.0,1929.0,7468.0,2628.0,11952.0,9576.0,1652.0,14251.0,19817.0,12517.0,10937.0,9942.0,945.0,2366.0,801.0,6844.0,1080395.0,1419164.36005
sub-B0017,3598.4,4358.9,2084.6,4301.1,1589.1,446.1,3497.9,4528.5,2024.5,4320.0,1893.0,523.6,1108762.0,1090291.0,224156.068033,227827.860261,451983.928294,220440.106122,223146.969581,443587.075703,58072.0,615331.928294,972601.003997,957162.003997,1331976.0,0.767228,0.921685,28.0,17.0,45.0,1445152.917402,1940.0,1303.0,5969.0,3649.0,2533.0,8742.0,12374.0,11315.0,2505.0,10680.0,6074.0,6675.0,4894.0,9497.0,1700.0,3932.0,3372.0,1750.0,3166.0,2242.0,8540.0,2856.0,14433.0,8969.0,2742.0,14980.0,21067.0,12952.0,11323.0,11101.0,1040.0,2508.0,1281.0,7029.0,1090291.0,1445152.917402,2135.0,2003.0,5602.0,3386.0,3131.0,8221.0,14566.0,12248.0,2399.0,11713.0,6723.0,7163.0,5432.0,10386.0,1706.0,3849.0,3555.0,2282.0,3944.0,2073.0,8227.0,3236.0,13210.0,8973.0,1740.0,16472.0,19420.0,14504.0,10379.0,10364.0,1026.0,2405.0,816.0,5846.0,1090291.0,1445152.917402
sub-B0018,2780.7,3881.8,1775.1,4292.9,1680.8,331.0,2706.6,4160.1,1843.3,4290.5,1503.0,429.9,1126733.0,1114736.0,241957.864265,240728.175425,482686.039689,232076.944177,224763.099437,456840.043613,52514.0,631471.039689,1004111.083303,995106.083303,1367923.0,0.806423,0.979048,23.0,29.0,52.0,1397197.650967,2552.0,1492.0,5821.0,2873.0,2445.0,9587.0,13499.0,11573.0,2310.0,12968.0,7952.0,5810.0,4720.0,12116.0,2160.0,3749.0,6420.0,2181.0,4030.0,1826.0,8600.0,3263.0,13893.0,9896.0,2946.0,15741.0,22824.0,13600.0,12367.0,11292.0,1124.0,2649.0,1434.0,6948.0,1114736.0,1397197.650967,2042.0,1556.0,6886.0,2640.0,2323.0,9589.0,14929.0,11919.0,2460.0,11596.0,7649.0,6722.0,4758.0,13145.0,1884.0,4501.0,3883.0,2563.0,4556.0,2098.0,8977.0,2733.0,14623.0,10098.0,2239.0,16333.0,22350.0,13852.0,12007.0,9414.0,1251.0,2348.0,836.0,7038.0,1114736.0,1397197.650967
sub-B0019,3017.8,4866.4,2045.4,4229.8,1726.0,292.7,3103.0,4613.8,1880.0,4394.6,1763.7,526.4,1100804.0,1088195.0,223877.546416,220577.900271,444455.446687,227638.033324,227314.559953,454952.593277,56639.0,605670.446687,967757.039964,958689.039964,1362339.0,0.765763,0.947698,21.0,17.0,38.0,1437524.98346,2798.0,1470.0,5567.0,3093.0,1770.0,9211.0,14581.0,12137.0,2329.0,11017.0,7079.0,5066.0,4512.0,10265.0,2067.0,3075.0,4177.0,2228.0,3694.0,1960.0,8938.0,3267.0,13032.0,9840.0,2796.0,15020.0,19898.0,11123.0,11799.0,9379.0,1039.0,1981.0,1021.0,7129.0,1088195.0,1437524.98346,2232.0,1755.0,4439.0,2952.0,2131.0,7687.0,16202.0,11919.0,1950.0,9744.0,6829.0,5780.0,5302.0,11251.0,1781.0,3777.0,3167.0,2145.0,4582.0,1893.0,7482.0,2673.0,12869.0,10697.0,1795.0,14781.0,20213.0,13129.0,11111.0,8692.0,869.0,2273.0,943.0,6425.0,1088195.0,1437524.98346
sub-B0020,3326.6,5532.1,2190.9,4597.4,2052.2,580.0,3466.9,5657.1,1989.1,4792.7,2281.0,568.0,1241196.0,1232768.0,264723.128956,269152.44713,533875.576085,239517.480219,238603.796766,478121.276985,63235.0,720247.576085,1084181.85307,1078632.85307,1501973.0,0.799716,0.967738,48.0,53.0,101.0,1552045.720242,3689.0,2401.0,7867.0,2651.0,2284.0,11378.0,15331.0,14904.0,3076.0,11560.0,8492.0,5959.0,6020.0,14011.0,2176.0,3503.0,5048.0,2462.0,2934.0,1721.0,9870.0,3388.0,16889.0,9986.0,3734.0,17455.0,24650.0,14479.0,13222.0,13308.0,988.0,2541.0,1296.0,7547.0,1232768.0,1552045.720242,2343.0,3118.0,6185.0,3912.0,2422.0,9656.0,19119.0,13728.0,2631.0,13301.0,8659.0,7197.0,6309.0,16069.0,2286.0,4114.0,4658.0,2836.0,4755.0,2229.0,11346.0,3991.0,14831.0,9490.0,3253.0,17537.0,23840.0,12800.0,13213.0,10350.0,1289.0,2519.0,901.0,9137.0,1232768.0,1552045.720242
