,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,BrainSegVol,BrainSegVolNotVent,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol,lh_bankssts_volume,lh_caudalanteriorcingulate_volume,lh_caudalmiddlefrontal_volume,lh_cuneus_volume,lh_entorhinal_volume,lh_fusiform_volume,lh_inferiorparietal_volume,lh_inferiortemporal_volume,lh_isthmuscingulate_volume,lh_lateraloccipital_volume,lh_lateralorbitofrontal_volume,lh_lingual_volume,lh_medialorbitofrontal_volume,lh_middletemporal_volume,lh_parahippocampal_volume,lh_paracentral_volume,lh_parsopercularis_volume,lh_parsorbitalis_volume,lh_parstriangularis_volume,lh_pericalcarine_volume,lh_postcentral_volume,lh_posteriorcingulate_volume,lh_precentral_volume,lh_precuneus_volume,lh_rostralanteriorcingulate_volume,lh_rostralmiddlefrontal_volume,lh_superiorfrontal_volume,lh_superiorparietal_volume,lh_superiortemporal_volume,lh_supramarginal_volume,lh_frontalpole_volume,lh_temporalpole_volume,lh_transversetemporal_volume,lh_insula_volume,BrainSegVolNotVent,eTIV,rh_bankssts_volume,rh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,rh_cuneus_volume,rh_entorhinal_volume,rh_fusiform_volume,rh_inferiorparietal_volume,rh_inferiortemporal_volume,rh_isthmuscingulate_volume,rh_lateraloccipital_volume,rh_lateralorbitofrontal_volume,rh_lingual_volume,rh_medialorbitofrontal_volume,rh_middletemporal_volume,rh_parahippocampal_volume,rh_paracentral_volume,rh_parsopercularis_volume,rh_parsorbitalis_volume,rh_parstriangularis_volume,rh_pericalcarine_volume,rh_postcentral_volume,rh_posteriorcingulate_volume,rh_precentral_volume,rh_precuneus_volume,rh_rostralanteriorcingulate_volume,rh_rostralmiddlefrontal_volume,rh_superiorfrontal_volume,rh_superiorparietal_volume,rh_superiortemporal_volume,rh_supramarginal_volume,rh_frontalpole_volume,rh_temporalpole_volume,rh_transversetemporal_volume,rh_insula_volume,BrainSegVolNotVent,eTIV
sub-D0014,2772.7,4253.9,1828.1,3775.3,1555.0,354.3,2827.2,4327.7,1802.3,4164.2,1635.9,501.0,1153995.0,1138610.0,246336.10295,243660.36171,489996.46466,233188.981367,227180.020185,460369.001552,52677.0,650197.46466,1018513.466213,1006147.466213,1412307.0,0.794754,0.972653,8.0,15.0,23.0,1452014.629743,2769.0,1888.0,7221.0,2983.0,2127.0,10484.0,13298.0,13189.0,3017.0,11846.0,7231.0,6262.0,4497.0,10426.0,2098.0,2992.0,6962.0,2438.0,4766.0,1637.0,9808.0,3034.0,13931.0,10277.0,3033.0,14648.0,24040.0,13799.0,13347.0,11290.0,895.0,2309.0,1239.0,7177.0,1138610.0,1452014.629743,2724.0,2688.0,7282.0,3502.0,1787.0,9932.0,16893.0,10310.0,2802.0,12659.0,7029.0,7788.0,5771.0,12832.0,1883.0,3850.0,3600.0,2609.0,3914.0,2445.0,8795.0,3749.0,14175.0,9534.0,2156.0,17267.0,20504.0,11984.0,13455.0,9466.0,1319.0,2520.0,967.0,6397.0,1138610.0,1452014.629743
sub-D0015,3580.1,5103.4,1872.3,4135.8,1857.1,461.8,3690.0,5210.7,1871.5,4202.1,1939.3,563.5,1139420.0,1123225.0,249866.220461,247618.265318,497484.48578,217190.152736,217938.258422,435128.411158,58407.0,661634.48578,1006125.896938,993845.896938,1400627.0,0.760774,0.935178,28.0,20.0,48.0,1497711.404953,2365.0,1638.0,7553.0,3446.0,2260.0,10541.0,11550.0,11173.0,3022.0,12077.0,8025.0,6936.0,5439.0,11139.0,1864.0,4214.0,4799.0,2629.0,3692.0,2593.0,9367.0,2874.0,15256.0,9885.0,2832.0,16215.0,26028.0,12647.0,11796.0,14580.0,1196.0,2491.0,871.0,7367.0,1123225.0,1497711.404953,2201.0,1971.0,6975.0,3318.0,2531.0,9359.0,13541.0,10408.0,2660.0,11954.0,7741.0,7667.0,5193.0,12850.0,1900.0,4380.0,3829.0,2614.0,4565.0,3029.0,9965.0,2986.0,15033.0,9665.0,2178.0,17208.0,24361.0,12786.0,12674.0,10474.0,1606.0,2624.0,823.0,7376.0,1123225.0,1497711.404953
sub-D0016,3978.7,6500.5,2406.1,4754.9,1939.0,491.4,4314.5,6441.6,2135.7,4862.4,2186.2,600.9,1351613.0,1314909.0,283076.092464,284730.329921,567806.422385,254372.071259,256327.345003,510699.416262,69313.0,769855.422385,1182471.838648,1151245.838648,1655174.0,0.765716,0.937689,45.0,28.0,73.0,1765162.140745,3510.0,1490.0,8223.0,2958.0,2267.0,13031.0,16573.0,12806.0,2944.0,12206.0,9445.0,7331.0,6036.0,13449.0,1992.0,4314.0,7154.0,2465.0,3903.0,2150.0,10474.0,3935.0,16975.0,11277.0,3306.0,20266.0,27827.0,13408.0,15823.0,12525.0,998.0,2992.0,1090.0,8617.0,1314909.0,1765162.140745,2140.0,1564.0,8447.0,3423.0,2835.0,12451.0,17511.0,15452.0,2726.0,13660.0,8244.0,6930.0,7191.0,16015.0,2363.0,5023.0,4849.0,2779.0,5038.0,2220.0,9897.0,3884.0,15972.0,11675.0,1954.0,21669.0,27786.0,14044.0,11310.0,10972.0,1477.0,3724.0,964.0,9682.0,1314909.0,1765162.140745
sub-D0017,3142.6,4797.7,2041.8,4070.6,1688.2,346.4,3177.3,4767.2,1860.1,4306.1,1782.7,467.9,1149371.0,1132302.0,224577.701131,226232.506064,450810.207194,240803.555934,243138.754932,483942.310866,56247.0,617271.207194,1007933.51806,994511.51806,1414047.0,0.798228,0.982043,17.0,14.0,31.0,1439903.442199,1960.0,1312.0,6137.0,3120.0,2357.0,8989.0,10242.0,11485.0,2901.0,11226.0,7057.0,6240.0,4951.0,10822.0,2028.0,3039.0,4634.0,2040.0,3613.0,1912.0,9794.0,2690.0,13303.0,9743.0,2655.0,13134.0,19990.0,13270.0,11506.0,11329.0,1152.0,2824.0,900.0,6998.0,1132302.0,1439903.442199,2020.0,1755.0,5568.0,3767.0,2254.0,8862.0,13960.0,10752.0,2316.0,12729.0,7233.0,6891.0,5108.0,11503.0,1772.0,4019.0,3881.0,2627.0,3993.0,2591.0,8436.0,2963.0,12094.0,9044.0,2098.0,15347.0,19382.0,13321.0,10241.0,9200.0,1267.0,2785.0,791.0,6844.0,1132302.0,1439903.442199
sub-D0018,3363.6,5593.9,2138.6,4343.2,1912.8,559.8,3626.6,5441.9,2020.1,4639.9,2134.2,537.3,1240860.0,1224666.0,246669.187139,247498.885722,494168.072861,264128.540478,262222.732578,526351.273056,63548.0,667823.072861,1099515.345916,1086989.345916,1515793.0,0.792811,0.968472,21.0,29.0,50.0,1565139.107035,2397.0,2469.0,5726.0,3149.0,2128.0,9494.0,12205.0,15117.0,2482.0,12202.0,7567.0,6878.0,5474.0,12669.0,2076.0,3403.0,4202.0,2399.0,4411.0,1546.0,9992.0,3036.0,13491.0,9326.0,2718.0,16883.0,23900.0,13438.0,12711.0,10473.0,1015.0,2692.0,871.0,9147.0,1224666.0,1565139.107035,2068.0,2412.0,6504.0,3273.0,1545.0,8415.0,15090.0,11779.0,2347.0,14758.0,8190.0,7964.0,6754.0,15161.0,1894.0,3500.0,4098.0,2599.0,5409.0,1769.0,8843.0,3526.0,13019.0,8626.0,1823.0,18012.0,21800.0,12389.0,12270.0,9820.0,1053.0,2048.0,766.0,8634.0,1224666.0,1565139.107035
sub-D0019,4084.8,5489.9,2323.9,4413.9,1638.5,499.4,3862.6,5651.2,2476.6,4509.2,1941.4,586.8,1253529.0,1235736.0,240812.888904,236173.206102,476986.095006,272771.637187,275341.00186,548112.639048,64346.0,654455.095006,1107616.734053,1093670.734053,1523534.0,0.793539,0.964464,13.0,19.0,32.0,1579668.448931,2198.0,2084.0,7337.0,3846.0,2558.0,9733.0,11492.0,10283.0,2695.0,13335.0,7621.0,8683.0,5552.0,9730.0,1778.0,3893.0,5994.0,1911.0,3691.0,2910.0,9588.0,2981.0,12590.0,10282.0,2765.0,14550.0,22566.0,15697.0,11560.0,10772.0,912.0,2527.0,946.0,6984.0,1235736.0,1579668.448931,2227.0,2416.0,7265.0,3330.0,2141.0,7133.0,14605.0,9761.0,3761.0,14218.0,7429.0,9636.0,5644.0,11473.0,1994.0,3715.0,5020.0,2105.0,4485.0,2992.0,9781.0,3224.0,12245.0,11035.0,1624.0,16186.0,19180.0,11767.0,11036.0,9039.0,996.0,2670.0,618.0,7015.0,1235736.0,1579668.448931
sub-D0020,3253.0,4653.6,1847.0,3869.8,1472.2,323.3,3123.0,4834.0,1890.0,4316.1,1569.4,451.3,1095763.0,1078523.0,213101.062855,210790.633121,423891.695976,231506.571322,236036.708401,467543.279723,56340.0,580910.695976,963961.975699,950488.975699,1364819.0,0.781678,0.973613,16.0,21.0,37.0,1401808.343793,2311.0,1714.0,4782.0,3054.0,2072.0,8677.0,11683.0,10454.0,2150.0,12996.0,7039.0,3642.0,5172.0,10678.0,1813.0,2963.0,3691.0,2636.0,3346.0,1419.0,8582.0,2593.0,13208.0,7757.0,2500.0,13870.0,18767.0,10670.0,13230.0,9841.0,889.0,2481.0,995.0,6284.0,1078523.0,1401808.343793,2045.0,1525.0,5140.0,2486.0,2100.0,7578.0,13532.0,11685.0,1680.0,11272.0,6773.0,4227.0,5119.0,11346.0,1304.0,3531.0,3375.0,2882.0,3784.0,1571.0,8657.0,2821.0,11750.0,8046.0,2074.0,14583.0,18464.0,11120.0,11670.0,8363.0,781.0,2345.0,789.0,6898.0,1078523.0,1401808.343793
sub-D0021,3387.5,5341.3,2084.1,4425.7,1696.1,324.1,3276.4,5596.1,2034.2,4370.6,1993.9,498.6,1171625.0,1160903.0,235092.640588,235266.460702,470359.10129,238786.364819,241579.416877,480365.781696,61904.0,646305.10129,1024491.882986,1017047.882986,1328886.0,0.812409,0.921455,30.0,28.0,58.0,1442160.721573,2559.0,2405.0,4131.0,3038.0,1813.0,8759.0,14301.0,12706.0,2873.0,12906.0,8390.0,6951.0,5712.0,13171.0,2201.0,3375.0,4811.0,2271.0,4987.0,1829.0,7437.0,4110.0,11636.0,10591.0,3139.0,14508.0,19520.0,10614.0,14080.0,9603.0,725.0,2230.0,1097.0,7862.0,1160903.0,1442160.721573,2744.0,2860.0,4895.0,4054.0,1465.0,9750.0,13626.0,10497.0,2574.0,13148.0,8487.0,8048.0,5396.0,15449.0,1833.0,4031.0,4349.0,3125.0,4351.0,2606.0,8481.0,3530.0,11849.0,11227.0,2922.0,14968.0,17092.0,9629.0,11947.0,9764.0,685.0,2468.0,1046.0,7965.0,1160903.0,1442160.721573
sub-D0022,3432.6,5222.1,1828.4,3590.4,1474.5,314.0,3386.3,5241.0,1702.9,3658.5,1424.3,438.3,995469.0,979795.0,202162.940067,204843.859909,407006.799975,201607.491304,198372.225302,399979.716606,52004.0,539028.799975,875652.516582,862982.516582,1239908.0,0.764172,0.951815,15.0,23.0,38.0,1302677.278968,2297.0,1520.0,4752.0,2595.0,1862.0,8571.0,10851.0,9525.0,2167.0,9997.0,6194.0,4963.0,5007.0,8915.0,1815.0,3211.0,3652.0,2139.0,2878.0,1663.0,7456.0,3033.0,12513.0,8337.0,2342.0,13095.0,18825.0,11181.0,11642.0,9246.0,1067.0,2339.0,952.0,6541.0,979795.0,1302677.278968,1869.0,1676.0,4781.0,2708.0,2211.0,8765.0,14873.0,8520.0,1887.0,11769.0,6166.0,5041.0,4736.0,10085.0,1598.0,3710.0,3110.0,2453.0,3915.0,1828.0,7126.0,2682.0,11906.0,8270.0,1006.0,13053.0,20237.0,11487.0,10069.0,8087.0,1311.0,2119.0,714.0,6551.0,979795.0,1302677.278968
sub-D0023,3893.4,5773.5,2229.0,4348.3,1853.5,426.4,3815.9,5937.6,2102.7,4524.9,1841.7,538.2,1216022.0,1197222.0,259111.62012,264001.874903,523113.495023,233810.779802,231019.538926,464830.318727,63509.0,704819.495023,1067627.81375,1053806.81375,1496933.0,0.77277,0.951287,21.0,28.0,49.0,1573587.89788,2758.0,1231.0,6282.0,3195.0,3502.0,11173.0,13382.0,13637.0,3199.0,11892.0,8770.0,7431.0,6210.0,11433.0,2940.0,3934.0,4856.0,2997.0,4099.0,2134.0,11426.0,2718.0,15476.0,9455.0,2021.0,18115.0,25632.0,12006.0,13713.0,10822.0,1372.0,2853.0,1056.0,7499.0,1197222.0,1573587.89788,2257.0,1621.0,8269.0,2981.0,2902.0,12176.0,16149.0,14124.0,2899.0,11044.0,9709.0,7459.0,5924.0,12567.0,2195.0,3924.0,5094.0,3555.0,4601.0,2185.0,10574.0,2863.0,16072.0,10449.0,2269.0,16845.0,24272.0,13150.0,12374.0,11248.0,1345.0,3316.0,786.0,7436.0,1197222.0,1573587.89788
sub-D0024,3998.9,5976.1,2321.5,4172.9,1762.7,329.1,3881.9,6228.2,2095.8,4298.9,1853.2,473.3,1185641.0,1163005.0,249470.605214,250468.442513,499939.047727,226643.724487,229701.319123,456345.04361,61625.0,677858.047727,1040562.091337,1021473.091337,1447817.0,0.773217,0.944196,22.0,27.0,49.0,1533386.608713,3110.0,1922.0,7018.0,4662.0,2799.0,7805.0,11770.0,11100.0,2948.0,12106.0,7708.0,6740.0,5124.0,10756.0,2089.0,3647.0,5918.0,2323.0,5043.0,2673.0,10964.0,2580.0,13392.0,9634.0,3123.0,17737.0,23614.0,13322.0,15832.0,9316.0,1552.0,2556.0,1299.0,8067.0,1163005.0,1533386.608713,1985.0,1372.0,7693.0,3587.0,2757.0,8659.0,13364.0,10867.0,2918.0,13017.0,7826.0,6907.0,5815.0,12151.0,1626.0,4248.0,4374.0,3228.0,4092.0,2545.0,9633.0,2711.0,13997.0,11618.0,1397.0,17960.0,23525.0,12946.0,12085.0,12735.0,1482.0,2480.0,1172.0,8471.0,1163005.0,1533386.608713
sub-D0025,2794.2,4985.1,1876.8,4352.8,1522.8,453.4,3132.7,5158.1,2006.3,4178.8,2019.6,476.0,1217659.0,1204658.0,246986.915907,245806.249188,492793.165095,260078.599251,260736.747391,520815.346642,56823.0,652087.165095,1083906.511737,1074238.511737,1495214.0,0.789056,0.968915,50.0,52.0,102.0,1543184.611764,1813.0,1412.0,7777.0,3311.0,2436.0,10264.0,12818.0,14552.0,3935.0,11539.0,8139.0,6318.0,5963.0,12696.0,2198.0,3257.0,4381.0,2480.0,3678.0,2080.0,9851.0,2932.0,13511.0,9178.0,4055.0,15328.0,23934.0,12723.0,11226.0,11773.0,868.0,2248.0,1461.0,7887.0,1204658.0,1543184.611764,2009.0,3077.0,8223.0,3593.0,2716.0,10563.0,17751.0,13733.0,2117.0,12217.0,7961.0,7174.0,5204.0,11892.0,2067.0,4638.0,3368.0,2389.0,4186.0,2471.0,7827.0,3991.0,14054.0,10385.0,2600.0,15196.0,21481.0,12689.0,10150.0,8649.0,1001.0,2272.0,748.0,8814.0,1204658.0,1543184.611764
sub-D0027,3433.6,5527.7,2481.3,4755.5,1853.1,365.8,3364.0,5711.8,2268.3,4951.0,2119.3,541.2,1305742.0,1284832.0,247595.931227,253280.066214,500875.997441,277152.856193,278874.964205,556027.820398,65792.0,692299.997441,1142789.817839,1126893.817839,1591131.0,0.786941,0.958939,33.0,25.0,58.0,1659262.205122,1984.0,1373.0,6186.0,2800.0,2478.0,10859.0,14678.0,15479.0,3207.0,10873.0,7387.0,5655.0,5079.0,10673.0,2221.0,3889.0,4717.0,2017.0,4146.0,1509.0,10030.0,3662.0,12697.0,10068.0,3064.0,16542.0,24339.0,12317.0,12525.0,12435.0,797.0,2224.0,1463.0,8274.0,1284832.0,1659262.205122,2308.0,1865.0,7022.0,2770.0,2362.0,11648.0,15393.0,11867.0,2689.0,12835.0,8466.0,5886.0,5991.0,14719.0,2005.0,3407.0,3130.0,3202.0,3917.0,1645.0,10128.0,3625.0,14281.0,11357.0,1999.0,17069.0,22082.0,14585.0,13304.0,10771.0,1000.0,2237.0,1014.0,8123.0,1284832.0,1659262.205122
sub-D0028,3538.0,4987.7,2062.0,4191.7,1768.5,438.0,3476.0,5073.5,2148.6,4322.5,1793.7,560.6,1206934.0,1189043.0,254777.805418,260145.214833,514923.020251,229135.029712,233819.662266,462954.691978,60379.0,691965.020251,1056080.712229,1041463.712229,1476870.0,0.78939,0.96594,19.0,25.0,44.0,1528945.125706,2345.0,1940.0,7342.0,2632.0,2301.0,10459.0,13244.0,15256.0,2739.0,11559.0,7566.0,6611.0,5484.0,12470.0,1839.0,4027.0,3945.0,2050.0,3133.0,1683.0,10745.0,3517.0,15147.0,10059.0,3062.0,15706.0,24993.0,14165.0,12591.0,14244.0,1203.0,2935.0,1090.0,7263.0,1189043.0,1528945.125706,2491.0,2604.0,5748.0,2733.0,2035.0,10581.0,15311.0,13923.0,2421.0,11997.0,8399.0,7002.0,5909.0,13201.0,1943.0,4443.0,3388.0,2965.0,4447.0,1749.0,11012.0,3869.0,13863.0,11022.0,1526.0,20675.0,23842.0,13143.0,13390.0,12680.0,1189.0,3185.0,892.0,7140.0,1189043.0,1528945.125706
sub-D0029,4217.3,5378.4,2216.7,4146.8,1689.8,563.3,4192.3,5410.8,2194.1,4575.4,2010.9,636.6,1283493.0,1268242.0,276600.689959,277754.218608,554354.908566,249063.54641,248959.764523,498023.310933,63406.0,738385.908566,1129245.219499,1118226.219499,1574884.0,0.773753,0.949417,17.0,11.0,28.0,1658790.112652,2557.0,2293.0,6577.0,3109.0,1879.0,11187.0,14982.0,14032.0,3394.0,12331.0,8335.0,6014.0,5646.0,14915.0,1752.0,4318.0,6532.0,2739.0,5306.0,2018.0,12494.0,4308.0,16100.0,12321.0,3057.0,17300.0,27274.0,15069.0,13820.0,11239.0,1057.0,2003.0,1071.0,9394.0,1268242.0,1658790.112652,2572.0,1959.0,6433.0,3133.0,1912.0,11264.0,17977.0,13717.0,3631.0,10241.0,7853.0,5821.0,6425.0,13610.0,1862.0,3890.0,6586.0,3163.0,5977.0,2379.0,11004.0,4200.0,17002.0,13772.0,2111.0,18768.0,26554.0,16479.0,13163.0,11026.0,1183.0,2381.0,862.0,9342.0,1268242.0,1658790.112652
sub-D0030,3311.9,5038.1,2029.3,3830.6,1737.0,501.2,3388.4,4972.9,2084.9,4356.9,1890.5,516.3,1180641.0,1163098.0,235562.591514,238272.518254,473835.109769,250293.068389,251873.341877,502166.410266,58611.0,630960.109769,1051868.520035,1038408.520035,1465664.0,0.752997,0.93478,16.0,21.0,37.0,1567923.35841,1881.0,1177.0,6406.0,3152.0,2377.0,9517.0,13947.0,11511.0,2497.0,11951.0,7307.0,5947.0,5399.0,10891.0,1899.0,3870.0,4141.0,2301.0,3371.0,1751.0,9600.0,3482.0,13774.0,8909.0,2325.0,15589.0,24640.0,14224.0,11549.0,9099.0,1013.0,2854.0,976.0,7619.0,1163098.0,1567923.35841,1933.0,2074.0,6038.0,2472.0,2506.0,10339.0,15373.0,13246.0,2744.0,10601.0,6866.0,6080.0,5479.0,12447.0,1888.0,3926.0,3725.0,2725.0,4328.0,2035.0,9978.0,3732.0,13480.0,10242.0,1977.0,16271.0,22387.0,12841.0,11367.0,8732.0,1166.0,2182.0,613.0,7939.0,1163098.0,1567923.35841
sub-D0031,5262.7,6636.4,2835.9,5594.0,2466.7,508.2,5363.7,7009.5,2588.7,6163.0,2784.1,745.3,1530429.0,1507827.0,333037.084752,325976.067156,659013.151908,296165.714249,294495.388885,590661.103134,78824.0,885179.151908,1349327.255042,1332348.255042,1860798.0,0.7768,0.944485,34.0,48.0,82.0,1970171.353231,3683.0,2302.0,9017.0,4388.0,2760.0,13702.0,16749.0,18130.0,4356.0,16283.0,10812.0,8143.0,5834.0,18708.0,3421.0,3542.0,6185.0,3071.0,4763.0,2775.0,14637.0,3499.0,17137.0,13853.0,3928.0,27029.0,27377.0,15772.0,18853.0,16139.0,1278.0,3509.0,1705.0,11031.0,1507827.0,1970171.353231,4222.0,2313.0,7884.0,4003.0,2257.0,12038.0,19169.0,15368.0,4111.0,16072.0,11497.0,10292.0,7064.0,20842.0,3151.0,3727.0,5511.0,4236.0,6321.0,2946.0,12499.0,4631.0,16762.0,13379.0,2929.0,21965.0,28156.0,14800.0,17575.0,14820.0,1640.0,2727.0,1377.0,10692.0,1507827.0,1970171.353231
sub-D0032,3319.6,4806.9,2379.9,4398.9,1979.6,425.9,3666.5,4835.9,2502.3,4581.2,1975.1,485.3,1281131.0,1273530.0,259841.023234,262278.759674,522119.782908,280576.926966,280923.510247,561500.437214,60966.0,681296.782908,1152468.220122,1147611.220122,1522586.0,0.779584,0.926512,19.0,28.0,47.0,1643352.929243,3175.0,2013.0,7760.0,3998.0,1714.0,9221.0,13436.0,11775.0,3096.0,13953.0,7591.0,7908.0,5468.0,13449.0,2041.0,3615.0,5062.0,1900.0,3982.0,2911.0,10664.0,3803.0,15113.0,10640.0,3252.0,16693.0,23098.0,13223.0,15932.0,12012.0,679.0,2388.0,1410.0,7218.0,1273530.0,1643352.929243,2534.0,2398.0,7338.0,3997.0,1994.0,10032.0,16829.0,13948.0,2991.0,15005.0,7745.0,8027.0,5768.0,14292.0,1616.0,5286.0,3495.0,2537.0,4073.0,3154.0,10890.0,3883.0,15253.0,9870.0,1728.0,16551.0,23816.0,11262.0,14033.0,11075.0,736.0,2648.0,1027.0,7239.0,1273530.0,1643352.929243
sub-D0034,3775.2,4626.3,2069.6,4580.1,2022.0,447.3,3775.2,5625.9,2000.7,4892.1,2045.9,621.4,1290992.0,1277599.0,271897.818026,275177.697661,547075.515687,261508.081111,264407.360462,525915.441573,63332.0,724554.515687,1149821.95726,1140131.95726,1578521.0,0.775824,0.948616,14.0,25.0,39.0,1664025.908588,3072.0,1426.0,8446.0,3428.0,2393.0,10000.0,14939.0,12409.0,3814.0,13917.0,8304.0,7637.0,5514.0,13463.0,2397.0,3662.0,5279.0,2449.0,4429.0,1938.0,11036.0,4016.0,15233.0,11767.0,3367.0,15635.0,26513.0,15881.0,13469.0,13846.0,1055.0,3324.0,788.0,8160.0,1277599.0,1664025.908588,2100.0,1780.0,7912.0,3811.0,2159.0,11116.0,16289.0,13587.0,3216.0,16586.0,8641.0,8521.0,5828.0,14698.0,2099.0,4767.0,4788.0,3551.0,5778.0,2457.0,8668.0,4098.0,14957.0,12113.0,3162.0,17650.0,23077.0,14073.0,13109.0,11792.0,1209.0,3030.0,829.0,8949.0,1277599.0,1664025.908588
sub-D0035,3304.1,5467.0,2051.2,3759.0,1405.1,417.1,3397.0,5683.7,1988.7,4215.3,1492.6,501.4,1024745.0,1011450.0,223087.619248,219933.691371,443021.310619,205040.677206,203096.397132,408137.074338,54747.0,579461.310619,919902.384957,909272.384957,1253519.0,0.787961,0.963873,24.0,11.0,35.0,1300502.63098,2212.0,1384.0,5457.0,2936.0,1951.0,9016.0,10197.0,12547.0,2349.0,10791.0,7090.0,5878.0,5368.0,10198.0,1513.0,3544.0,6032.0,2296.0,3628.0,1958.0,8849.0,2891.0,11912.0,10110.0,1924.0,12745.0,22015.0,12554.0,11920.0,10377.0,1061.0,2481.0,1007.0,7432.0,1011450.0,1300502.63098,2123.0,2570.0,5180.0,3103.0,1883.0,8758.0,13643.0,11331.0,2394.0,10204.0,6723.0,6639.0,4364.0,9599.0,1839.0,3932.0,4491.0,2498.0,4090.0,2380.0,7769.0,3352.0,10984.0,9823.0,2704.0,13707.0,19286.0,12316.0,11705.0,9500.0,1002.0,2836.0,1011.0,7048.0,1011450.0,1300502.63098
sub-D0036,3165.3,5359.9,2014.5,4266.3,1841.6,446.0,3881.3,5521.1,1989.6,4421.9,2069.7,485.8,1233919.0,1216461.0,269493.469922,271633.205638,541126.67556,235889.442084,236101.246482,471990.688567,59552.0,715566.67556,1090015.364127,1076420.364127,1532017.0,0.768356,0.953981,34.0,19.0,53.0,1605920.577133,2391.0,2029.0,8036.0,3473.0,2819.0,11219.0,18065.0,14795.0,3043.0,14488.0,7418.0,8430.0,5656.0,10575.0,2279.0,4468.0,3849.0,2352.0,3360.0,2193.0,11968.0,3656.0,15291.0,11034.0,3109.0,16263.0,23462.0,17126.0,13106.0,11672.0,1123.0,2693.0,1029.0,7607.0,1216461.0,1605920.577133,2836.0,2628.0,4376.0,3676.0,2573.0,11949.0,18482.0,15196.0,2589.0,14321.0,8914.0,8147.0,5382.0,12783.0,2098.0,4412.0,3685.0,2783.0,6817.0,2500.0,10813.0,4238.0,10661.0,9468.0,3073.0,28498.0,27749.0,11138.0,12251.0,7762.0,1412.0,2556.0,720.0,7189.0,1216461.0,1605920.577133
sub-D0037,3476.9,4719.7,1995.2,4114.9,1553.7,363.3,3513.7,5134.3,1795.9,4148.5,1907.8,459.5,1159163.0,1143635.0,242945.73086,242102.323997,485048.054858,239046.883098,237941.850578,476988.733676,57853.0,635929.054858,1034273.788534,1022326.788534,1460653.0,0.77619,0.978071,18.0,19.0,37.0,1493401.292241,2440.0,1393.0,7048.0,2945.0,1709.0,9036.0,12440.0,10863.0,2546.0,9926.0,7721.0,4718.0,5497.0,11200.0,2332.0,4041.0,5154.0,2023.0,3098.0,1464.0,10183.0,2989.0,16643.0,9056.0,2709.0,15974.0,26868.0,13414.0,13997.0,11890.0,1158.0,2058.0,1482.0,7069.0,1143635.0,1493401.292241,2381.0,2513.0,7088.0,3060.0,1734.0,8887.0,14013.0,11861.0,2124.0,9177.0,7517.0,5145.0,6035.0,12571.0,1603.0,4003.0,4004.0,2375.0,3548.0,1730.0,10597.0,3252.0,15289.0,10164.0,2039.0,16456.0,24232.0,13375.0,13085.0,9945.0,1273.0,2627.0,955.0,7732.0,1143635.0,1493401.292241
sub-D0039,3654.4,5634.4,2140.7,4042.4,1591.1,488.5,3764.9,5658.9,2119.5,4416.8,1832.7,607.2,1128283.0,1108525.0,229619.591406,230206.291569,459825.882974,219829.291631,218806.130177,438635.421808,62220.0,640347.882974,980017.304783,963761.304783,1422148.0,0.7491,0.944205,19.0,18.0,37.0,1506184.832254,3365.0,1549.0,5788.0,3006.0,2281.0,10410.0,13432.0,9604.0,2488.0,10829.0,6974.0,5941.0,4463.0,10940.0,2181.0,3963.0,4578.0,2630.0,3143.0,1947.0,9407.0,3445.0,13752.0,9635.0,2344.0,13660.0,21974.0,12695.0,12767.0,9822.0,1140.0,2330.0,1350.0,6726.0,1108525.0,1506184.832254,2020.0,1161.0,6747.0,3334.0,1835.0,9763.0,13185.0,10669.0,2197.0,11900.0,7336.0,6463.0,4884.0,12033.0,1755.0,3893.0,4202.0,2449.0,4914.0,2487.0,8807.0,3107.0,13361.0,10598.0,1568.0,13876.0,22441.0,12271.0,11896.0,9739.0,1276.0,2053.0,907.0,6585.0,1108525.0,1506184.832254
