aparc.a2009s_area,aparc.a2009s_thickness,aparc.a2009s_volume,aparc.DKTatlas_area,aparc.DKTatlas_thickness,aparc.DKTatlas_volume,aparc_area,aparc_thickness,aparc_volume,new_altas
rh_G_front_inf-Triangul_area,rh_G_front_inf-Triangul_thickness,rh_G_front_inf-Triangul_volume,,,,,,,rh_cuneus_thickness
rh_G_front_middle_area,rh_G_front_middle_thickness,rh_G_front_middle_volume,,,,,,,rh_fusiform_thickness
rh_G_front_sup_area,rh_G_front_sup_thickness,rh_G_front_sup_volume,,,,,,,rh_inferiorparietal_thickness
rh_G_Ins_lg&S_cent_ins_area,rh_G_Ins_lg&S_cent_ins_thickness,rh_G_Ins_lg&S_cent_ins_volume,,,,,,,rh_inferiortemporal_thickness
rh_G_insular_short_area,rh_G_insular_short_thickness,rh_G_insular_short_volume,,,,,,,rh_isthmuscingulate_thickness
rh_G_occipital_middle_area,rh_G_occipital_middle_thickness,rh_G_occipital_middle_volume,,,,,,,rh_lateraloccipital_thickness
rh_G_occipital_sup_area,rh_G_occipital_sup_thickness,rh_G_occipital_sup_volume,,,,,,,rh_lateralorbitofrontal_thickness
rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_lat-fusifor_thickness,rh_G_oc-temp_lat-fusifor_volume,,,,,,,rh_lingual_thickness
rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Lingual_thickness,rh_G_oc-temp_med-Lingual_volume,,,,,,,rh_medialorbitofrontal_thickness
rh_G_oc-temp_med-Parahip_area,rh_G_oc-temp_med-Parahip_thickness,rh_G_oc-temp_med-Parahip_volume,,,,,,,rh_middletemporal_thickness
rh_G_orbital_area,rh_G_orbital_thickness,rh_G_orbital_volume,,,,,,,rh_parahippocampal_thickness
rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Angular_thickness,rh_G_pariet_inf-Angular_volume,,,,,,,rh_paracentral_thickness
rh_G_pariet_inf-Supramar_area,rh_G_pariet_inf-Supramar_thickness,rh_G_pariet_inf-Supramar_volume,,,,,,,rh_parsopercularis_thickness
rh_G_parietal_sup_area,rh_G_parietal_sup_thickness,rh_G_parietal_sup_volume,,,,,,,rh_parsorbitalis_thickness
rh_G_postcentral_area,rh_G_postcentral_thickness,rh_G_postcentral_volume,,,,,,,rh_parstriangularis_thickness
rh_G_precentral_area,rh_G_precentral_thickness,rh_G_precentral_volume,,,,,,,rh_pericalcarine_thickness
rh_G_precuneus_area,rh_G_precuneus_thickness,rh_G_precuneus_volume,,,,,,,rh_postcentral_thickness
rh_G_rectus_area,rh_G_rectus_thickness,rh_G_rectus_volume,,,,,,,rh_posteriorcingulate_thickness
rh_G_subcallosal_area,rh_G_subcallosal_thickness,rh_G_subcallosal_volume,,,,,,,rh_precentral_thickness
rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-G_T_transv_thickness,rh_G_temp_sup-G_T_transv_volume,,,,,,,rh_precuneus_thickness
rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Lateral_thickness,rh_G_temp_sup-Lateral_volume,,,,,,,rh_rostralanteriorcingulate_thickness
rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_polar_thickness,rh_G_temp_sup-Plan_polar_volume,,,,,,,rh_rostralmiddlefrontal_thickness
rh_G_temp_sup-Plan_tempo_area,rh_G_temp_sup-Plan_tempo_thickness,rh_G_temp_sup-Plan_tempo_volume,,,,,,,rh_superiorfrontal_thickness
rh_G_temporal_inf_area,rh_G_temporal_inf_thickness,rh_G_temporal_inf_volume,,,,,,,rh_superiorparietal_thickness
rh_G_temporal_middle_area,rh_G_temporal_middle_thickness,rh_G_temporal_middle_volume,,,,,,,rh_superiortemporal_thickness
rh_Lat_Fis-ant-Horizont_area,rh_Lat_Fis-ant-Horizont_thickness,rh_Lat_Fis-ant-Horizont_volume,,,,,,,rh_supramarginal_thickness
rh_Lat_Fis-ant-Vertical_area,rh_Lat_Fis-ant-Vertical_thickness,rh_Lat_Fis-ant-Vertical_volume,,,,,,,rh_frontalpole_thickness
rh_Lat_Fis-post_area,rh_Lat_Fis-post_thickness,rh_Lat_Fis-post_volume,,,,,,,rh_temporalpole_thickness
rh_Pole_occipital_area,rh_Pole_occipital_thickness,rh_Pole_occipital_volume,,,,,,,rh_transversetemporal_thickness
rh_Pole_temporal_area,rh_Pole_temporal_thickness,rh_Pole_temporal_volume,,,,,,,rh_insula_thickness
rh_S_calcarine_area,rh_S_calcarine_thickness,rh_S_calcarine_volume,,,,,,,
rh_S_central_area,rh_S_central_thickness,rh_S_central_volume,,,,,,,
rh_S_cingul-Marginalis_area,rh_S_cingul-Marginalis_thickness,rh_S_cingul-Marginalis_volume,,,,,,,
rh_S_circular_insula_ant_area,rh_S_circular_insula_ant_thickness,rh_S_circular_insula_ant_volume,,,,,,,
rh_S_circular_insula_inf_area,rh_S_circular_insula_inf_thickness,rh_S_circular_insula_inf_volume,,,,,,,
rh_S_circular_insula_sup_area,rh_S_circular_insula_sup_thickness,rh_S_circular_insula_sup_volume,,,,,,,
rh_S_collat_transv_ant_area,rh_S_collat_transv_ant_thickness,rh_S_collat_transv_ant_volume,,,,,,,
rh_S_collat_transv_post_area,rh_S_collat_transv_post_thickness,rh_S_collat_transv_post_volume,,,,,,,
rh_S_front_inf_area,rh_S_front_inf_thickness,rh_S_front_inf_volume,,,,,,,
rh_S_front_middle_area,rh_S_front_middle_thickness,rh_S_front_middle_volume,,,,,,,
rh_S_front_sup_area,rh_S_front_sup_thickness,rh_S_front_sup_volume,,,,,,,
rh_S_interm_prim-Jensen_area,rh_S_interm_prim-Jensen_thickness,rh_S_interm_prim-Jensen_volume,,,,,,,
rh_S_intrapariet&P_trans_area,rh_S_intrapariet&P_trans_thickness,rh_S_intrapariet&P_trans_volume,,,,,,,
rh_S_oc_middle&Lunatus_area,rh_S_oc_middle&Lunatus_thickness,rh_S_oc_middle&Lunatus_volume,,,,,,,
rh_S_oc_sup&transversal_area,rh_S_oc_sup&transversal_thickness,rh_S_oc_sup&transversal_volume,,,,,,,
rh_S_occipital_ant_area,rh_S_occipital_ant_thickness,rh_S_occipital_ant_volume,,,,,,,
rh_S_oc-temp_lat_area,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_lat_volume,,,,,,,
rh_S_oc-temp_med&Lingual_area,rh_S_oc-temp_med&Lingual_thickness,rh_S_oc-temp_med&Lingual_volume,,,,,,,
rh_S_orbital_lateral_area,rh_S_orbital_lateral_thickness,rh_S_orbital_lateral_volume,,,,,,,
rh_S_orbital_med-olfact_area,rh_S_orbital_med-olfact_thickness,rh_S_orbital_med-olfact_volume,,,,,,,
rh_S_orbital-H_Shaped_area,rh_S_orbital-H_Shaped_thickness,rh_S_orbital-H_Shaped_volume,,,,,,,
rh_S_parieto_occipital_area,rh_S_parieto_occipital_thickness,rh_S_parieto_occipital_volume,,,,,,,
rh_S_pericallosal_area,rh_S_pericallosal_thickness,rh_S_pericallosal_volume,,,,,,,
rh_S_postcentral_area,rh_S_postcentral_thickness,rh_S_postcentral_volume,,,,,,,
rh_S_precentral-inf-part_area,rh_S_precentral-inf-part_thickness,rh_S_precentral-inf-part_volume,,,,,,,
rh_S_precentral-sup-part_area,rh_S_precentral-sup-part_thickness,rh_S_precentral-sup-part_volume,,,,,,,
rh_S_suborbital_area,rh_S_suborbital_thickness,rh_S_suborbital_volume,,,,,,,
rh_S_subparietal_area,rh_S_subparietal_thickness,rh_S_subparietal_volume,,,,,,,
rh_S_temporal_inf_area,rh_S_temporal_inf_thickness,rh_S_temporal_inf_volume,,,,,,,
rh_S_temporal_sup_area,rh_S_temporal_sup_thickness,rh_S_temporal_sup_volume,,,,,,,
rh_S_temporal_transverse_area,rh_S_temporal_transverse_thickness,rh_S_temporal_transverse_volume,,,,,,,
rh_G_and_S_frontomargin_area,rh_G_and_S_frontomargin_thickness,rh_G_and_S_frontomargin_volume,,,,,,,
rh_G_and_S_occipital_inf_area,rh_G_and_S_occipital_inf_thickness,rh_G_and_S_occipital_inf_volume,,,,,,,
rh_G_and_S_paracentral_area,rh_G_and_S_paracentral_thickness,rh_G_and_S_paracentral_volume,,,,,,,
rh_G_and_S_subcentral_area,rh_G_and_S_subcentral_thickness,rh_G_and_S_subcentral_volume,,,,,,,
rh_G_and_S_transv_frontopol_area,rh_G_and_S_transv_frontopol_thickness,rh_G_and_S_transv_frontopol_volume,,,,,,,
rh_G_and_S_cingul-Ant_area,rh_G_and_S_cingul-Ant_thickness,rh_G_and_S_cingul-Ant_volume,,,,,,,
rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Ant_thickness,rh_G_and_S_cingul-Mid-Ant_volume,,,,,,,
rh_G_and_S_cingul-Mid-Post_area,rh_G_and_S_cingul-Mid-Post_thickness,rh_G_and_S_cingul-Mid-Post_volume,,,,,,,
rh_G_Ins_lg_and_S_cent_ins_area,rh_G_Ins_lg_and_S_cent_ins_thickness,rh_G_Ins_lg_and_S_cent_ins_volume,,,,,,,
rh_S_intrapariet_and_P_trans_area,rh_S_intrapariet_and_P_trans_thickness,rh_S_intrapariet_and_P_trans_volume,,,,,,,
rh_S_oc_middle_and_Lunatus_area,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_middle_and_Lunatus_volume,,,,,,,
rh_S_oc_sup_and_transversal_area,rh_S_oc_sup_and_transversal_thickness,rh_S_oc_sup_and_transversal_volume,,,,,,,
rh_S_oc-temp_med_and_Lingual_area,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_oc-temp_med_and_Lingual_volume,,,,,,,
